From,To,Nr,Date
Abu Dhabi,Amsterdam,,
Abu Dhabi,"Melbourne, Australia",,
Abu Dhabi,Amsterdam,,
Abu Dhabi,"Melbourne, Australia",,
Alice Springs,"Melbourne, Australia",999,17/1/1998
Alice Springs,Uluru,999,13/1/1998
Alice Springs,"Melbourne, Australia",,
Amsterdam,Johannesburg,1,07-1991
Amsterdam,"Manchester, England",4,04-1993
Amsterdam,"Manchester, England",6,04-1993
Amsterdam,Hong Kong,8,
Amsterdam,Hong Kong,12,
Amsterdam,London,14,
Amsterdam,Singapore,21,
Amsterdam,Reykjavik,23,13/03/1994
Amsterdam,Singapore,27,
Amsterdam,Maastricht,33,
Amsterdam,Dhaka,34,15/01/1995
Amsterdam,Hong Kong,999,08/07/2011
Amsterdam,Abu Dhabi,,
Amsterdam,Dubai,999,24/09/2016
Amsterdam,Sofia,,
Amsterdam,Istanbul,,
Amsterdam,"Athens, Greece",,
Amsterdam,"Athens, Greece",,
"Athens, Greece",Amsterdam,999,04/09/2016
"Athens, Greece",Johannesburg,,
"Athens, Greece",Amsterdam,,
"Athens, Greece","Melbourne, Australia",,
Auckland,Singapore,44,
Auckland,Los Angeles,,
Auckland,"Melbourne, Australia",,
Auckland,Hawke’s Bay,,
Bangkok,Yangon,29,
Beijing,Hong Kong,10,
Brisbane,"Melbourne, Australia",02/10/2011,
Brisbane,"Melbourne, Australia",14/10/2016,
Brunei,Miri,37,14/06/1994
Brunei,Singapore,40,20/06/1995
Cairo,Sofia,,
Cape Town,Johannesburg,17,
Christchurch,"Melbourne, Australia",999,25/10/2012
Darwin,"Melbourne, Australia",,
Denpasar,Singapore,,
Denpasar,"Melbourne, Australia",,
Dhaka,Singapore,35,
Dhaka,Singapore,42,
Dhaka,Kathmandu,999,07/03/1996
Dhaka,Singapore,999,22/03/1996
Dubai,Amsterdam,999,15/12/14
Dubai,Rome,999,15/08/16
Dubai,Kuala Lumpur,999,25/09/2016
Düsseldorf,Moscow,,
Düsseldorf,"Luxor, Egypt",,
Guangzhou,Chengdu,9,11/08/93
Hawke’s Bay,Auckland,,
Hobart,"Melbourne, Australia",,
Hobart,"Melbourne, Australia",,
Hong Kong,Amsterdam,11,
Hong Kong,Amsterdam,13,
Hong Kong,Amsterdam,999,30/05/11
Hong Kong,"Melbourne, Australia",999,11/07/11
Hong Kong,Moscow,,
Johannesburg,Amsterdam,3,01-1992
Johannesburg,Windhoek,18,
Johannesburg,"Athens, Greece",,
Kathmandu,Lukla,09/03/1996,
Kathmandu,Dhaka,21/03/1996,
Kuala Lumpur,"Melbourne, Australia",26/09/2016,
Limbang Airport Limbang Sarawak Malaysia,Miri,39,19/06/1995
London,Windhoek,15,
London,Amsterdam,20,
Los Angeles,Amsterdam,,
Lukla,Kathmandu,18/03/1996,
"Luxor, Egypt",Düsseldorf,,
"Manchester, England",Amsterdam,5,04-1993
"Manchester, England",Amsterdam,7,04-1993
"Melbourne, Australia",Christchurch,999,18/10/2012
"Melbourne, Australia",Wellington,999,23/10/2015
"Melbourne, Australia",Hong Kong,999,29/05/2011
"Melbourne, Australia",Brisbane,999,23/09/2011
"Melbourne, Australia",Abu Dhabi,,
"Melbourne, Australia",Singapore,,
"Melbourne, Australia",Sydney,,
"Melbourne, Australia",Auckland,,
"Melbourne, Australia",Dubai,999,14/08/2016
"Melbourne, Australia",Darwin,,
"Melbourne, Australia",Alice Springs,999,13/01/1998
"Melbourne, Australia",Alice Springs, ,
"Melbourne, Australia",Perth,,
"Melbourne, Australia",Perth,,
"Melbourne, Australia","Athens, Greece",,
"Melbourne, Australia",Denpasar,,
"Melbourne, Australia",Sydney,,
"Melbourne, Australia",Hobart,,
"Melbourne, Australia",Hobart,,
Miri,Gunung Mulu,38,15/06/1995
Moscow,Düsseldorf,,
Moscow,Hong Kong,,
New York,Reykjavik,25,20/03/1994
Penang,Singapore,31,01/10/1994
Perth,"Melbourne, Australia",,
Perth,"Melbourne, Australia",,
Reykjavik,New York,24,
Reykjavik,Amsterdam,26,
Singapore,Amsterdam,22,
Singapore,Chang Mai,28,
Singapore,Amsterdam,32,
Singapore,Brunei,36,13/06/1995
Singapore,Dhaka,41,20/06/1995
Singapore,Auckland,43,
Singapore,Dhaka,45,
Singapore,"Melbourne, Australia",,
Singapore,Auckland,,
Singapore,Denpasar,,
Sofia,Cairo,,
Sofia,Amsterdam,,
Sydney,Brisbane,999,09/10/2016
Sydney,"Melbourne, Australia",,
Uluru,Alice Springs,999,17/01/1998
Victoria Falls,Harare,2,
Wellington,"Melbourne, Australia",999,27/10/2015
Windhoek,Cape Town,16,
Windhoek,London,19,
Yangon,Singapore,30,
Singapore,Hanoi,,
Hanoi,Singapore,,
"Melbourne, Australia",Hobart,,30/04/17
Hobart,"Melbourne, Australia",,01/05/17
"Melbourne, Australia",Brisbane,,
Brisbane,Port Villa,,
Port Villa,Brisbane,,
Brisbane,"Melbourne, Australia",,
